seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recoveries,emergency_stops,unresolved_emergency_stops
5406,site_medium,high,False,0.4666666666666667,0.4666666666666667,300,9.0,1,1.0,76.00000089406967,77.00000089406967,,165.00000191586358,1,1,0,0,0,0,51,33,18,0,0
5406,site_dynamic,low,False,0.08333333333333333,0.08333333333333333,400,0.5,0,0,2.0,2.0,,24.0,0,0,0,0,0,0,225,225,0,0,0
5406,site_dynamic,medium,False,0.5333333333333333,0.5333333333333333,400,152.0,256,256.0,46.00000059604645,302.00000059604645,,566.2500011175871,12,2,10,0,0,0,261,42,219,0,0
5406,site_dynamic,high,False,0.5652173913043478,0.5652173913043478,400,64.5,87,87.0,92.0000011920929,179.0000011920929,,316.69230980139514,73,11,62,0,0,0,154,135,19,0,0
5407,site_small,low,False,0.3333333333333333,0.3333333333333333,180,0.5,0,0,2.0,2.0,,6.0,0,0,0,0,0,0,16,16,0,0,0
5407,site_small,medium,True,1.0,1.0,43,0.5,0,0,4.300000064074993,4.300000064074993,4.300000064074993,4.300000064074993,0,0,0,0,0,0,2,2,0,0,0
5407,site_small,high,True,1.0,1.0,99,3.0,1,1.0,23.80000029504299,24.80000029504299,24.80000029504299,24.80000029504299,1,1,0,0,0,0,13,13,0,0,0
5407,site_medium,low,False,0.8571428571428571,0.8571428571428571,300,7.5,0,0,4.0,4.0,,4.666666666666667,0,0,0,0,0,0,99,99,0,0,0
5407,site_medium,medium,False,0.6,0.6,300,3.0,0,0,32.000000447034836,32.000000447034836,,53.333334078391395,0,0,0,0,0,0,175,175,0,0,0
5407,site_medium,high,False,0.4666666666666667,0.4666666666666667,300,0.0,0,0,59.60000088810921,59.60000088810921,,127.71428761737687,0,0,0,0,0,0,51,51,0,0,0
5407,site_dynamic,low,False,0.8333333333333334,0.8333333333333334,400,13.5,0,0,11.0,11.05,,13.26,0,0,0,0,0,0,121,119,2,0,0
5407,site_dynamic,medium,False,0.5333333333333333,0.5333333333333333,400,20.0,0,0,40.00000059604645,40.00000059604645,,75.00000111758709,0,0,0,0,0,0,227,214,13,0,0
5407,site_dynamic,high,False,0.30434782608695654,0.30434782608695654,400,7.25,0,0,81.0000011920929,81.0000011920929,,266.1428610597338,0,0,0,0,0,0,366,44,322,0,0
5408,site_small,low,True,1.0,1.0,110,1.25,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,6,6,0,0,0
5408,site_small,medium,False,0.0,0.0,180,0.0,0,0,18.0000002682209,18.0000002682209,,1800000026.8220901,0,0,0,0,0,0,73,73,0,0,0
5408,site_small,high,False,0.16666666666666666,0.16666666666666666,180,2.0,0,0,35.400000527501106,35.400000527501106,,212.40000316500664,0,0,0,0,0,0,45,45,0,0,0
5408,site_medium,low,False,0.8571428571428571,0.8571428571428571,300,6.25,0,0,4.0,4.05,,4.725,0,0,0,0,0,0,144,103,41,0,0
5408,site_medium,medium,False,0.3,0.3,300,3.0,0,0,32.000000447034836,32.000000447034836,,106.66666815678279,0,0,0,0,0,0,155,144,11,0,0
5408,site_medium,high,False,0.26666666666666666,0.26666666666666666,300,0.25,0,0,61.00000089406967,61.00000089406967,,228.75000335276127,0,0,0,0,0,0,71,65,6,0,0
5408,site_dynamic,low,False,0.3333333333333333,0.3333333333333333,400,4.75,0,0,1.0,1.0,,3.0,0,0,0,0,0,0,340,9,331,0,0
5408,site_dynamic,medium,False,0.5333333333333333,0.5333333333333333,400,14.5,0,0,58.00000059604645,58.00000059604645,,108.75000111758709,0,0,0,0,0,0,167,150,17,0,0
5408,site_dynamic,high,False,0.6086956521739131,0.6086956521739131,400,23.75,19,19.0,83.0000011920929,102.0000011920929,,167.5714305298669,10,0,10,0,0,0,144,142,2,0,0
5409,site_small,low,True,1.0,1.0,66,1.0,0,0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,7,7,0,0,0
5409,site_small,medium,True,1.0,1.0,33,0.0,0,0,3.300000049173832,3.300000049173832,3.300000049173832,3.300000049173832,0,0,0,0,0,0,1,1,0,0,0
5409,site_small,high,False,0.3333333333333333,0.3333333333333333,180,0.0,0,0,36.0000005364418,36.0000005364418,,108.00000160932541,0,0,0,0,0,0,51,51,0,0,0
5409,site_medium,low,True,1.0,1.0,176,7.25,0,0,4.0,4.05,4.05,4.05,0,0,0,0,0,0,39,39,0,0,0
5409,site_medium,medium,False,0.9,0.9,300,10.0,3,3.0,35.000000447034836,38.05000044703483,,42.27777827448315,2,2,0,0,0,0,59,59,0,0,0
5409,site_medium,high,True,1.0,1.0,77,3.5,1,1.0,17.400000229477882,18.400000229477882,18.400000229477882,18.400000229477882,1,0,1,0,0,0,22,22,0,0,0
5409,site_dynamic,low,False,0.8333333333333334,0.8333333333333334,400,9.5,0,0,16.0,16.0,,19.2,0,0,0,0,0,0,89,85,4,0,0
5409,site_dynamic,medium,False,0.5333333333333333,0.5333333333333333,400,16.5,2,2.0,59.00000059604645,61.050000596046445,,114.46875111758709,1,1,0,0,0,0,200,170,30,0,0
5409,site_dynamic,high,False,0.6521739130434783,0.6521739130434783,400,24.5,2,2.0,96.0000011920929,98.0000011920929,,150.26666849454244,2,2,0,0,0,0,132,125,7,0,0
